video_id,video_title,question_id,question,answer,difficulty
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q001,ما الذي ورد في النص في الفقره رقم 1؟,نص بني ادم، ونص اخطبوط في التاريخ.,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q002,ما الذي ورد في النص في الفقره رقم 2؟,وشويه رز صياديه،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q003,ما الذي ورد في النص في الفقره رقم 3؟,هيبقي عندك قدرات خارقه،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q004,ما الذي ورد في النص في الفقره رقم 4؟,يعمله كام دلوقتي؟,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q005,ما الذي ورد في النص في الفقره رقم 5؟,وقوم اسلقلنا الاخطبوط اللي جوا،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q006,ما الذي ورد في النص في الفقره رقم 6؟,السلام عليكم ورحمه الله وبركاته،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q007,ما الذي ورد في النص في الفقره رقم 7؟,"من برنامج ""الدحيح""!",Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q008,ما الذي ورد في النص في الفقره رقم 8؟,حير العلماء لسنين،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q009,ما الذي ورد في النص في الفقره رقم 9؟,بكتيريا، طحالب، شويه خلايا،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q010,ما الذي ورد في النص في الفقره رقم 10؟,هياكل واعضاء وحاجات معقده،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q011,ما الذي ورد في النص في الفقره رقم 11؟,رخويات، مفصليات،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q012,ما الذي ورد في النص في الفقره رقم 12؟,اسمها الانفجار الكامبري،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q013,ما الذي ورد في النص في الفقره رقم 13؟,اشكال معقده من الحياه,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q014,ما الذي ورد في النص في الفقره رقم 14؟,لا يوجد سبب واحد متفقين عليه,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q015,ما الذي ورد في النص في الفقره رقم 15؟,ان فجاه كدا الاكسجين زاد.,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q016,ما الذي ورد في النص في الفقره رقم 16؟,ان سباق المفترس والفريسه,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q017,ما الذي ورد في النص في الفقره رقم 17؟,ان غالبا لما القارات اتفتت،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q018,ما الذي ورد في النص في الفقره رقم 18؟,اللي ساعد في تكوين هذه الهياكل.,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q019,ما الذي ورد في النص في الفقره رقم 19؟,سببه كان ارضي ولا كوني؟,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q020,ما الذي ورد في النص في الفقره رقم 20؟,دخلت اجسام الكائنات,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q021,ما الذي ورد في النص في الفقره رقم 21؟,بيض اتشال علي نيزك،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q022,ما الذي ورد في النص في الفقره رقم 22؟,& Molecular Biology Journal،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q023,ما الذي ورد في النص في الفقره رقم 23؟,اللي عايشين معانا، علي حسب هذه الفرضيه،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q024,ما الذي ورد في النص في الفقره رقم 24؟,يعني انت بتقول في هذا البرنامج المحترم,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q025,ما الذي ورد في النص في الفقره رقم 25؟,"ان الاخطبوط اللي عندنا Alien؟! كائن فضائي؟!""",Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q026,ما الذي ورد في النص في الفقره رقم 26؟,"- ""امال يا (ابو حميد)؟!""",Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q027,ما الذي ورد في النص في الفقره رقم 27؟,"الله! انت بتضحك عليا؟!""",Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q028,ما الذي ورد في النص في الفقره رقم 28؟,اللي باكلمك عليها دي، لم تكن دراسه تجريبيه،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q029,ما الذي ورد في النص في الفقره رقم 29؟,القطط الفطسانه،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q030,ما الذي ورد في النص في الفقره رقم 30؟,ليسوا خبراء في هذا المجال،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q031,ما الذي ورد في النص في الفقره رقم 31؟,"طرحت هذه الورقه بما ان تم تكذيبها؟!""",Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q032,ما الذي ورد في النص في الفقره رقم 32؟,هي لماذا بعض العلماء،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q033,ما الذي ورد في النص في الفقره رقم 33؟,كائن غريب جدا جدا،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q034,ما الذي ورد في النص في الفقره رقم 34؟,"في ""شركه المرعبين المحدوده""،",Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q035,ما الذي ورد في النص في الفقره رقم 35؟,كانها وحوش فضائيه،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q036,ما الذي ورد في النص في الفقره رقم 36؟,كان الاخطبوط.,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q037,ما الذي ورد في النص في الفقره رقم 37؟,ان فيه حيوانات تانيه شكلها غريب،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q038,ما الذي ورد في النص في الفقره رقم 38؟,لما نيجي نبص علي الاخطبوط،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q039,ما الذي ورد في النص في الفقره رقم 39؟,كنا فاكرينه كائن بسيط،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q040,ما الذي ورد في النص في الفقره رقم 40؟,مع الاخطبوط دا علي انه لافقاريات بسيطه،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q041,ما الذي ورد في النص في الفقره رقم 41؟,من غير ما نخدره.,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q042,ما الذي ورد في النص في الفقره رقم 42؟,احنا بنعامل الاخطبوط كفقاريات شرفيه،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q043,ما الذي ورد في النص في الفقره رقم 43؟,نقرب منه، ونحاول نفهمه.,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q044,ما الذي ورد في النص في الفقره رقم 44؟,عشان كدا، اسمهم راسيات الارجل.,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q045,ما الذي ورد في النص في الفقره رقم 45؟,زي الحبار مثلا، او النوتيلوس،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q046,ما الذي ورد في النص في الفقره رقم 46؟,واحده في كل جنب،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q047,ما الذي ورد في النص في الفقره رقم 47؟,والعين التانيه بتحرس، ليكون فيه مفترس.,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q048,ما الذي ورد في النص في الفقره رقم 48؟,"لما باشوف الاخطبوط، باتساءل، هو بقه فين؟""",Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q049,ما الذي ورد في النص في الفقره رقم 49؟,ان بق الاخطبوط تحت راسه.,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q050,ما الذي ورد في النص في الفقره رقم 50؟,-  بس يا عزيزي.,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q051,ما الذي ورد في النص في الفقره رقم 51؟,ويقوم فاتحها، عشان ياكلها.,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q052,ما الذي ورد في النص في الفقره رقم 52؟,"باقي الاعضاء بتاعته فين؟""",Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q053,ما الذي ورد في النص في الفقره رقم 53؟,متكونين في كيس عضلي كبير ورا الدماغ،,Easy
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q054,ما الذي ورد في النص في الفقره رقم 54؟,بيتنفس بالخياشيم،,Medium
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q055,ما الذي ورد في النص في الفقره رقم 55؟,اللي مليان اكسجين، للخياشيم،,Easy
