video_id,video_title,question_id,question,answer,difficulty
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q001,ماذا ورد في هذا الموضع من النص؟,دي كل الاحداثيات اللي معانا وملخص للبعثه,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q002,ما الجمله المذكوره في هذا السياق؟,اكتشفته قبل ما تيجي لا لا البعثه,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q003,كيف صيغت العباره هنا؟,موسيقي الاستكشافيه اللي قدامي دي بايظه,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q004,ما الذي قيل في هذا الجزء؟,خالص المؤن مضروبه والاتجاهات بايظه انا,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q005,ما النص الحرفي المذكور في هذه الفقره؟,عايز اعرف مين المستكشف الحمار اللي كان,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q006,ماذا ورد في هذا الموضع من النص؟,شغال قبلي,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q007,ما الجمله المذكوره في هذا السياق؟,الجنرال ارثر الله يرحمه قبل ما التمساح,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q008,كيف صيغت العباره هنا؟,يعمله بوفتيك,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q009,ما الذي قيل في هذا الجزء؟,مبدئيا البوصله دي كارفه شمال شرق ممكن,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q010,ما النص الحرفي المذكور في هذه الفقره؟,اجيب لكم حاجه من عندي باستعمال خفيف بس,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q011,ماذا ورد في هذا الموضع من النص؟,هتكلفكم,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q012,ما الجمله المذكوره في هذا السياق؟,ماشي هات ونحاسبك,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q013,كيف صيغت العباره هنا؟,والخريطه دي هندي فرز تاني حتي طعمها,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q014,ما الذي قيل في هذا الجزء؟,تشيكن تيك مسله انا ما بشتغلش غير بخرايط,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q015,ما النص الحرفي المذكور في هذه الفقره؟,فرنساوي فرز اول مؤاخذه عندكم يا سيدي ما,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q016,ماذا ورد في هذا الموضع من النص؟,عندناش هات ونبقي نحاسبك عندكم سكان,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q017,ما الجمله المذكوره في هذا السياق؟,اصليين نستغلهم ونستعبدهم ولا بعد الصبي,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q018,كيف صيغت العباره هنا؟,بتاعي يجيب,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q019,ما الذي قيل في هذا الجزء؟,لا لا دول عندنا في الفريزر كتير بحيث كده,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q020,ما النص الحرفي المذكور في هذه الفقره؟,بقي انا عايز كوبايه انجلش تي ايرلي جراي,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q021,ماذا ورد في هذا الموضع من النص؟,انج تقيل ونبدا علي بركه الله وبقوللك,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q022,ما الجمله المذكوره في هذا السياق؟,طبقيص,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q023,كيف صيغت العباره هنا؟,لا هو الحقيقه حقيقه طباخ السفينه,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q024,ما الذي قيل في هذا الجزء؟,موسيقي هو كمان مات بعد المستكشف,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q025,ما النص الحرفي المذكور في هذه الفقره؟,الاولاني جالله من الاريحه,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q026,ماذا ورد في هذا الموضع من النص؟,طب مش مستاهله قول له اي حد يعمل شاي,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q027,ما الجمله المذكوره في هذا السياق؟,القبطان مثلا,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q028,كيف صيغت العباره هنا؟,اهو ده بقي جاله ضربه شمس ومات متسلخ,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q029,ما الذي قيل في هذا الجزء؟,مسؤول المؤن طيب غرق هو مين لسه عايش,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q030,ما النص الحرفي المذكور في هذه الفقره؟,بالظبط,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q031,ماذا ورد في هذا الموضع من النص؟,انا واثنين زمايلي ثاني,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q032,ما الجمله المذكوره في هذا السياق؟,ايه الصوت ده ام الساعه جت 600,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q033,كيف صيغت العباره هنا؟,ده معاد قبائل اكيلي لحوم البشر دي,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q034,ما الذي قيل في هذا الجزء؟,القبائل اللي بتبقي قاعده عند ده اول,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q035,ما النص الحرفي المذكور في هذه الفقره؟,البحيره بيحبوا يهجموا علينا قبل العشاء,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q036,ماذا ورد في هذا الموضع من النص؟,ححب بشر ايه احنا ماتفقناش علي كده,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q037,ما الجمله المذكوره في هذا السياق؟,طيب تعرف تستخدم السيف ولا بتحارب المنقله,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q038,كيف صيغت العباره هنا؟,بقي ولا ايه انا جون ويك,Medium
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q039,ما الذي قيل في هذا الجزء؟,موسيقي,Easy
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q040,ما النص الحرفي المذكور في هذه الفقره؟,موسيقي,Medium
