video_id,video_title,question_id,question,answer,difficulty
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q001,في اي شهر وسنه تدور الاحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q002,ما اسم الطائره المذكوره؟,اقدم لحضرتك فخر الطيران الامريكي الـF35.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q003,في اي ولايه جرت التجربه؟,في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q004,ما اسم الشركه المصنعه؟,اسمها لوكهيد مارتن.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q005,لماذا كان المقدم متحمسا؟,لانه هيجرب الطياره اللي هتغير العالم بشكل غير عادي.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q006,ما سبب صعوبه اسقاط الطائره؟,الطياره صعب جدا الرادار يلقطها.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q007,كم عدد اللغات في النظام؟,هي فيها 7 لغات.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q008,ما اسم المقدم؟,المقدم ايريك سميث.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q009,اين كان يقف المقدم؟,وهو واقف في Hangar واسع في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q010,ماذا قيل عن التكنولوجيا؟,التكنولوجيا اللي فيها سابقه بسنين ضوئيه.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q011,في اي شهر وسنه تدور الاحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q012,ما اسم الطائره المذكوره؟,اقدم لحضرتك فخر الطيران الامريكي الـF35.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q013,في اي ولايه جرت التجربه؟,في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q014,ما اسم الشركه المصنعه؟,اسمها لوكهيد مارتن.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q015,لماذا كان المقدم متحمسا؟,لانه هيجرب الطياره اللي هتغير العالم بشكل غير عادي.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q016,ما سبب صعوبه اسقاط الطائره؟,الطياره صعب جدا الرادار يلقطها.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q017,كم عدد اللغات في النظام؟,هي فيها 7 لغات.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q018,ما اسم المقدم؟,المقدم ايريك سميث.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q019,اين كان يقف المقدم؟,وهو واقف في Hangar واسع في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q020,ماذا قيل عن التكنولوجيا؟,التكنولوجيا اللي فيها سابقه بسنين ضوئيه.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q021,في اي شهر وسنه تدور الاحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q022,ما اسم الطائره المذكوره؟,اقدم لحضرتك فخر الطيران الامريكي الـF35.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q023,في اي ولايه جرت التجربه؟,في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q024,ما اسم الشركه المصنعه؟,اسمها لوكهيد مارتن.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q025,لماذا كان المقدم متحمسا؟,لانه هيجرب الطياره اللي هتغير العالم بشكل غير عادي.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q026,ما سبب صعوبه اسقاط الطائره؟,الطياره صعب جدا الرادار يلقطها.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q027,كم عدد اللغات في النظام؟,هي فيها 7 لغات.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q028,ما اسم المقدم؟,المقدم ايريك سميث.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q029,اين كان يقف المقدم؟,وهو واقف في Hangar واسع في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q030,ماذا قيل عن التكنولوجيا؟,التكنولوجيا اللي فيها سابقه بسنين ضوئيه.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q031,في اي شهر وسنه تدور الاحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q032,ما اسم الطائره المذكوره؟,اقدم لحضرتك فخر الطيران الامريكي الـF35.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q033,في اي ولايه جرت التجربه؟,في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q034,ما اسم الشركه المصنعه؟,اسمها لوكهيد مارتن.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q035,لماذا كان المقدم متحمسا؟,لانه هيجرب الطياره اللي هتغير العالم بشكل غير عادي.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q036,ما سبب صعوبه اسقاط الطائره؟,الطياره صعب جدا الرادار يلقطها.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q037,كم عدد اللغات في النظام؟,هي فيها 7 لغات.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q038,ما اسم المقدم؟,المقدم ايريك سميث.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q039,اين كان يقف المقدم؟,وهو واقف في Hangar واسع في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q040,ماذا قيل عن التكنولوجيا؟,التكنولوجيا اللي فيها سابقه بسنين ضوئيه.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q041,في اي شهر وسنه تدور الاحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q042,ما اسم الطائره المذكوره؟,اقدم لحضرتك فخر الطيران الامريكي الـF35.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q043,في اي ولايه جرت التجربه؟,في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q044,ما اسم الشركه المصنعه؟,اسمها لوكهيد مارتن.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q045,لماذا كان المقدم متحمسا؟,لانه هيجرب الطياره اللي هتغير العالم بشكل غير عادي.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q046,ما سبب صعوبه اسقاط الطائره؟,الطياره صعب جدا الرادار يلقطها.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q047,كم عدد اللغات في النظام؟,هي فيها 7 لغات.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q048,ما اسم المقدم؟,المقدم ايريك سميث.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q049,اين كان يقف المقدم؟,وهو واقف في Hangar واسع في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q050,ماذا قيل عن التكنولوجيا؟,التكنولوجيا اللي فيها سابقه بسنين ضوئيه.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q051,في اي شهر وسنه تدور الاحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q052,ما اسم الطائره المذكوره؟,اقدم لحضرتك فخر الطيران الامريكي الـF35.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q053,في اي ولايه جرت التجربه؟,في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q054,ما اسم الشركه المصنعه؟,اسمها لوكهيد مارتن.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q055,لماذا كان المقدم متحمسا؟,لانه هيجرب الطياره اللي هتغير العالم بشكل غير عادي.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q056,ما سبب صعوبه اسقاط الطائره؟,الطياره صعب جدا الرادار يلقطها.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q057,كم عدد اللغات في النظام؟,هي فيها 7 لغات.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q058,ما اسم المقدم؟,المقدم ايريك سميث.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q059,اين كان يقف المقدم؟,وهو واقف في Hangar واسع في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q060,ماذا قيل عن التكنولوجيا؟,التكنولوجيا اللي فيها سابقه بسنين ضوئيه.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q061,في اي شهر وسنه تدور الاحداث؟,احنا دلوقتي، يا عزيزي، في يوليو 2011.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q062,ما اسم الطائره المذكوره؟,اقدم لحضرتك فخر الطيران الامريكي الـF35.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q063,في اي ولايه جرت التجربه؟,في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q064,ما اسم الشركه المصنعه؟,اسمها لوكهيد مارتن.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q065,لماذا كان المقدم متحمسا؟,لانه هيجرب الطياره اللي هتغير العالم بشكل غير عادي.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q066,ما سبب صعوبه اسقاط الطائره؟,الطياره صعب جدا الرادار يلقطها.,Medium
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q067,كم عدد اللغات في النظام؟,هي فيها 7 لغات.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q068,ما اسم المقدم؟,المقدم ايريك سميث.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q069,اين كان يقف المقدم؟,وهو واقف في Hangar واسع في ولايه تكساس.,Easy
IxsJEffQAZA,أعظم طائرة حربية | الدحيح,IxsJEffQAZA_Q070,ماذا قيل عن التكنولوجيا؟,التكنولوجيا اللي فيها سابقه بسنين ضوئيه.,Medium
