video_id,video_title,question_id,question,answer,difficulty
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q001,ماذا ورد في النص حول هذه الجزئيه؟,والساموزين والسامو عليكم!,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q002,ما الجمله المذكوره في هذا الموضع؟,من كل من حرمه من حلم الساموراي...,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q003,كيف صيغت العباره في النص؟,السلام عليكم ورحمه الله وبركاته،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q004,ما الذي قيل في هذا السياق؟,من برنامج الدحيح!,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q005,ما النص الحرفي المذكور هنا؟,خليني اخدك مش لمكان واحد،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q006,ماذا ورد في النص حول هذه الجزئيه؟,تعود الي عائلات ساموراي كبيره،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q007,ما الجمله المذكوره في هذا الموضع؟,منتظرين حكم الاعدام،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q008,كيف صيغت العباره في النص؟,من حد بيحصله هذا الحكم,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q009,ما الذي قيل في هذا السياق؟,بل كان بيخططلها.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q010,ما النص الحرفي المذكور هنا؟,عشان تستقبل هذا الحدث،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q011,ماذا ورد في النص حول هذه الجزئيه؟,باكتر طريقه شريفه ممكنه،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q012,ما الجمله المذكوره في هذا الموضع؟,وبدون تردد او اي طلب للعفو،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q013,كيف صيغت العباره في النص؟,ان شرفي اهم من حياتي.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q014,ما الذي قيل في هذا السياق؟,مشهد موت الرجاله دول هيخلد للابد،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q015,ما النص الحرفي المذكور هنا؟,ممكن تعتبره جنوني،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q016,ماذا ورد في النص حول هذه الجزئيه؟,مشهد بطولي هما الساموراي،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q017,ما الجمله المذكوره في هذا الموضع؟,مسمي Seppuku، او الـHarakiri،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q018,كيف صيغت العباره في النص؟,عشان نفهم النهارده ما هو الساموراي،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q019,ما الذي قيل في هذا السياق؟,وما هي رحله تطور هذه العقيده.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q020,ما النص الحرفي المذكور هنا؟,لازم نرجع لاصل الكلمه،,Medium
