video_id,video_title,question_id,question,answer,difficulty
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q001,ماذا ورد في هذا الموضع من النص؟,يبدو اني في اخر ايامي خلاص!,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q002,ما الجمله المذكوره في هذا السياق؟,الف سلامه يا حاج! الف سلامه!,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q003,كيف صيغت العباره هنا؟,اسمع يا احمد يا ابني،,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q004,ما الذي قيل في هذا الجزء؟,انت كبير العيله،,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q005,ما النص الحرفي المذكور في هذه الفقره؟,انا سيبتلك قصر كبير،,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q006,ماذا ورد في هذا الموضع من النص؟,ليك انت واخواتك.,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q007,ما الجمله المذكوره في هذا السياق؟,ايه؟! سيبتلنا ايه؟! قصر علي النيل؟!,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q008,كيف صيغت العباره هنا؟,نيل ايه يا بني ادم؟!,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q009,ما الذي قيل في هذا الجزء؟,بقولك قصر كبير.,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q010,ما النص الحرفي المذكور في هذه الفقره؟,اه! ايوه، ايوه، ايوه،,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q011,ماذا ورد في هذا الموضع من النص؟,اسف يا بابا، معلش،,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q012,ما الجمله المذكوره في هذا السياق؟,انت عارف، انا بقالي فتره مش بسمع كويس.,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q013,كيف صيغت العباره هنا؟,وبس كدا؟!,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q014,ما الذي قيل في هذا الجزء؟,ولا بنطق كويس،,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q015,ما النص الحرفي المذكور في هذه الفقره؟,ولا بقول جمل طويله،,Easy
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q016,ماذا ورد في هذا الموضع من النص؟,ولا بعرف انطق كلمات ياباني، فرنساوي،,Medium
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q017,ما الجمله المذكوره في هذا السياق؟,ولا حتي عربي،,Easy
