video_id,video_title,question_id,question,answer,difficulty
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q001,ماذا ورد في هذا الموضع من النص؟,"انا ""هنا""، في خدمه سموك.",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q002,ما الجمله المذكوره في هذا السياق؟,ان نستعين بخدماتك في Event.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q003,كيف صيغت العباره هنا؟,"في ""طهران"" و""زايد""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q004,ما الذي قيل في هذا الجزء؟,بس انت عايز تزعل الـEx طبعا، صح؟,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q005,ما النص الحرفي المذكور في هذه الفقره؟,مذابح Planners تانيين،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q006,ماذا ورد في هذا الموضع من النص؟,بـAssassins اجانب ولا محليين؟,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q007,ما الجمله المذكوره في هذا السياق؟,- اه، طبعا،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q008,كيف صيغت العباره هنا؟,"من برنامج ""الدحيح""!",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q009,ما الذي قيل في هذا الجزء؟,في القرن السادس الميلادي،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q010,ما النص الحرفي المذكور في هذه الفقره؟,هنراقب قافله تجاريه بتعدي الصحرا،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q011,ماذا ورد في هذا الموضع من النص؟,اقوي دوله في العالم وقتها،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q012,ما الجمله المذكوره في هذا السياق؟,"رايحه فين؟ رايحه ""اليمن""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q013,كيف صيغت العباره هنا؟,"بلاد ""فارس"" كانت بتدعم ""اليمن""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q014,ما الذي قيل في هذا الجزء؟,"تحرر نفسها من قبضه ""الحبشه""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q015,ما النص الحرفي المذكور في هذه الفقره؟,"""اثيوبيا"" كانت بتحاول تبقي مستعمر!",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q016,ماذا ورد في هذا الموضع من النص؟,مجموعه من ظباط الفرس المخضرمين،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q017,ما الجمله المذكوره في هذا السياق؟,من مكان لمكان تاني،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q018,كيف صيغت العباره هنا؟,اكتر من قبيله عربيه،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q019,ما الذي قيل في هذا الجزء؟,"اللي هي الاقليم الجنوبي من بلاد ""فارس""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q020,ما النص الحرفي المذكور في هذه الفقره؟,"""النعمان""، ملك المناذره،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q021,ماذا ورد في هذا الموضع من النص؟,"هتستلمها قبائل ""ربيعه""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q022,ما الجمله المذكوره في هذا السياق؟,"لحد ما توصل لـ""اليمامه""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q023,كيف صيغت العباره هنا؟,من كل هذه الاحتياطات والماراثون التتابعي،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q024,ما الذي قيل في هذا الجزء؟,"علي جنوب ""اليمامه"" بالظبط،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q025,ما النص الحرفي المذكور في هذه الفقره؟,بعد مقاومه ضعيفه جدا،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q026,ماذا ورد في هذا الموضع من النص؟,والاساوره الفرس,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q027,ما الجمله المذكوره في هذا السياق؟,المفروض اساله دلوقتي، عشان اكملك حبكتك،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q028,كيف صيغت العباره هنا؟,تابعه لواحد من اقوي رجال العالم؟!,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q029,ما الذي قيل في هذا الجزء؟,"مش خايفين من بطش كسري؟!""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q030,ما النص الحرفي المذكور في هذه الفقره؟,كنت محتاجك فعلا.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q031,ماذا ورد في هذا الموضع من النص؟,في اللحظه دي تحديدا،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q032,ما الجمله المذكوره في هذا السياق؟,"مع جيرانهم في شبه الجزيره ""بكر بن وائل""،",Medium
