video_id,video_title,question_id,question,answer,difficulty
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q001,ماذا ورد في هذا الموضع من النص؟,هو اللي قالي نط، هنط.,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q002,ما الجمله المذكوره في هذا السياق؟,انك تموت معانا يا راسمالي يا سفيه!,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q003,كيف صيغت العباره هنا؟,ايوه. اطردوه بره.,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q004,ما الذي قيل في هذا الجزء؟,artificial sweeteners،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q005,ما النص الحرفي المذكور في هذه الفقره؟,السلام عليكم ورحمه الله وبركاته،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q006,ماذا ورد في هذا الموضع من النص؟,من برنامج الدحيح!,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q007,ما الجمله المذكوره في هذا السياق؟,وحاول ما تندمش ان انت ادتني ايدك المرادي،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q008,كيف صيغت العباره هنا؟,في اعماق احدي الغابات الاستوائيه،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q009,ما الذي قيل في هذا الجزء؟,واقفه في صف طويل جدا من الناس،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q010,ما النص الحرفي المذكور في هذه الفقره؟,وهما ماسكين كوبايات،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q011,ماذا ورد في هذا الموضع من النص؟,اللي لابس نضاره سودا،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q012,ما الجمله المذكوره في هذا السياق؟,علي كرسي كانه عرش،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q013,كيف صيغت العباره هنا؟,قامت الناس رافعه الكوبايات اللي كان فيهم سم،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q014,ما الذي قيل في هذا الجزء؟,وزي ما شفنا، اطفال،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q015,ما النص الحرفي المذكور في هذه الفقره؟,صوت الغابه بيرجع يعلي من تاني،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q016,ماذا ورد في هذا الموضع من النص؟,وكان موجود علي العرش، وانتحر،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q017,ما الجمله المذكوره في هذا السياق؟,من اكبر عمليات الانتحار الجماعي في التاريخ.,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q018,كيف صيغت العباره هنا؟,مش ازاي كل دول ماتوا،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q019,ما الذي قيل في هذا الجزء؟,وافقوا بارادتهم الحره,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q020,ما النص الحرفي المذكور في هذه الفقره؟,كانت اجابته بسيطه جدا،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q021,ماذا ورد في هذا الموضع من النص؟,علي حسب قاموس ويبستر،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q022,ما الجمله المذكوره في هذا السياق؟,ليها عقائد او ممارسات,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q023,كيف صيغت العباره هنا؟,معزوله وهي بتشرب السم,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q024,ما الذي قيل في هذا الجزء؟,يطيعوا قائد بعينه؟!,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q025,ما النص الحرفي المذكور في هذه الفقره؟,بفكر ان انا يبقي عندي cult صغير،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q026,ماذا ورد في هذا الموضع من النص؟,ويقول نفسي انتمي لطائفه،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q027,ما الجمله المذكوره في هذا السياق؟,مش بتقدم نفسها كمشروع للموت،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q028,كيف صيغت العباره هنا؟,اللي موجوده في حياتنا،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q029,ما الذي قيل في هذا الجزء؟,اللي بيلعب علي احتياج الناس،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q030,ما النص الحرفي المذكور في هذه الفقره؟,احتياجك للانتماء،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q031,ماذا ورد في هذا الموضع من النص؟,تتغلب علي محدوديتك كفرد.,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q032,ما الجمله المذكوره في هذا السياق؟,عامله زي ما تكون حاجه موجوده في الـDNA،,Medium
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q033,كيف صيغت العباره هنا؟,الضحيه بتدخل المصيده بارادتها الحره،,Easy
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q034,ما الذي قيل في هذا الجزء؟,للشخص اللي بينضم لهذه الطوائف،,Medium
