video_id,video_title,question_id,question,answer,difficulty
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q001,ماذا ورد في هذا الموضع من النص؟,- ايه؟!,Easy
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q002,ما الجمله المذكوره في هذا السياق؟,ما تعرفش اولها من اخرها.,Medium
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q003,كيف صيغت العباره هنا؟,كل امتيازات ورفاهيه الملك ازاي!,Easy
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q004,ما الذي قيل في هذا الجزء؟,السلام عليكم ورحمه الله وبركاته،,Medium
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q005,ما النص الحرفي المذكور في هذه الفقره؟,"من برنامج ""الدحيح""!",Easy
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q006,ماذا ورد في هذا الموضع من النص؟,تعالي نفتح مع بعض كتاب...,Medium
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q007,ما الجمله المذكوره في هذا السياق؟,كما يصف نفسه يعني،,Easy
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q008,كيف صيغت العباره هنا؟,"اكيد بيتمني من ربنا (اوكرانيا).""",Medium
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q009,ما الذي قيل في هذا الجزء؟,"بيتخيل ""بوتين"" بيسال ربنا،",Easy
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q010,ما النص الحرفي المذكور في هذه الفقره؟,تفصيله جغرافيه في الخريطه؟,Medium
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q011,ماذا ورد في هذا الموضع من النص؟,اي حاجز منيع طبيعي كدا,Easy
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q012,ما الجمله المذكوره في هذا السياق؟,ويخلينا قاعدين متطمنين؟,Medium
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q013,كيف صيغت العباره هنا؟,"اي حاكم عدي علي ""روسيا"" علي مر القرون،",Easy
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q014,ما الذي قيل في هذا الجزء؟,"اشاره واحده تقولك: ""هدئ""،",Medium
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q015,ما النص الحرفي المذكور في هذه الفقره؟,من اكبر السهول الممتده علي الكوكب،,Easy
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q016,ماذا ورد في هذا الموضع من النص؟,باخد علي قفايا من المنطقه دي!,Medium
