video_id,video_title,question_id,question,answer,difficulty
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q001,ماذا ورد في هذا الموضع من النص؟,افتح موضوع جديد يا ميدو، انا مش ناقص!,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q002,ما الجمله المذكوره في هذا السياق؟,وبعد كدا، هتنطفي هي كمان.,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q003,كيف صيغت العباره هنا؟,ايوه.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q004,ما الذي قيل في هذا الجزء؟,عشان كل حاجه بتنتهي.,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q005,ما النص الحرفي المذكور في هذه الفقره؟,عشان الفيزيا بتقول كدا.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q006,ماذا ورد في هذا الموضع من النص؟,عشان الفيزيا رياضه تطبيقيه،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q007,ما الجمله المذكوره في هذا السياق؟,والفلاسفه قالوا كدا.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q008,كيف صيغت العباره هنا؟,عشان كانوا فاضيين وفي اليونان و...,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q009,ما الذي قيل في هذا الجزء؟,عشان الاحياء بتسمع كلام الفيزيا برضه.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q010,ما النص الحرفي المذكور في هذه الفقره؟,هش!,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q011,ماذا ورد في هذا الموضع من النص؟,دي قوانين فيزيا، الواد ما بقاش صغير.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q012,ما الجمله المذكوره في هذا السياق؟,ما تكلمش الولد علي الفناء الكوني!,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q013,كيف صيغت العباره هنا؟,السلام عليكم ورحمه الله وبركاته،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q014,ما الذي قيل في هذا الجزء؟,من برنامج الدحيح!,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q015,ما النص الحرفي المذكور في هذه الفقره؟,احدي اشهر الجداريات في تاريخ الفن،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q016,ماذا ورد في هذا الموضع من النص؟,في بدايه القرن الـ16،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q017,ما الجمله المذكوره في هذا السياق؟,وعلماء العصور القديمه،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q018,كيف صيغت العباره هنا؟,اقليدس، هيراقليطس.,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q019,ما الذي قيل في هذا الجزء؟,اهم جزء في اللوحه هو هذا المشهد،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q020,ما النص الحرفي المذكور في هذه الفقره؟,بيشاور بصباعه للسما،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q021,ماذا ورد في هذا الموضع من النص؟,واحد من اهم الاختلافات في تاريخ الفلسفه.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q022,ما الجمله المذكوره في هذا السياق؟,علي ما يسمي بـعالم المثل العليا،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q023,كيف صيغت العباره هنا؟,هو عالم مثالي غير محسوس،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q024,ما الذي قيل في هذا الجزء؟,في حاله كمال، perfection،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q025,ما النص الحرفي المذكور في هذه الفقره؟,للعالم البعيد اللي فوق دا.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q026,ماذا ورد في هذا الموضع من النص؟,وفي لحظه اتوجد.,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q027,ما الجمله المذكوره في هذا السياق؟,علي طلاب مدرسه الـليسيوم في اثينا،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q028,كيف صيغت العباره هنا؟,الطبيعه لا تحتمل الفراغ،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q029,ما الذي قيل في هذا الجزء؟,معلش، انا متلخبط!,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q030,ما النص الحرفي المذكور في هذه الفقره؟,يتفرغ من مادته ويصبح عدم،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q031,ماذا ورد في هذا الموضع من النص؟,ثم الكون اتخلق،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q032,ما الجمله المذكوره في هذا السياق؟,وبعد كدا، ييجي عدم،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q033,كيف صيغت العباره هنا؟,و Theres no end.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q034,ما الذي قيل في هذا الجزء؟,بيشاور بايده علي الارض،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q035,ما النص الحرفي المذكور في هذه الفقره؟,جسدت الفكرتين دول جنب بعض،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q036,ماذا ورد في هذا الموضع من النص؟,بيتصدموا جدا من هذه الفكره،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q037,ما الجمله المذكوره في هذا السياق؟,كل كلام فلاسفه اليونان،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q038,كيف صيغت العباره هنا؟,وهيسموها قدم العالم،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q039,ما الذي قيل في هذا الجزء؟,لان الكون في الاديان مخلوق.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q040,ما النص الحرفي المذكور في هذه الفقره؟,نفسهم هذه الفكره تطلع صح،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q041,ماذا ورد في هذا الموضع من النص؟,المعادن الرخيصه لدهب.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q042,ما الجمله المذكوره في هذا السياق؟,ان ماده الكون هي عنصر اساسي وثابت،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q043,كيف صيغت العباره هنا؟,مجرد صور لماده ثابته،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q044,ما الذي قيل في هذا الجزء؟,الصفيح بتاعنا لدهب!,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q045,ما النص الحرفي المذكور في هذه الفقره؟,معضله فلسفيه شاغله العلماء والمفكرين،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q046,ماذا ورد في هذا الموضع من النص؟,بطرق علميه تاكدلنا مين فيهم صح،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q047,ما الجمله المذكوره في هذا السياق؟,ان الكون اتخلق، وهييجي يوم وينتهي،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q048,كيف صيغت العباره هنا؟,ان الكون ازلي بلا بدايه، وابدي بلا نهايه،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q049,ما الذي قيل في هذا الجزء؟,كل دا هيتغير.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q050,ما النص الحرفي المذكور في هذه الفقره؟,بيقدر يرصد النجوم في اي مكان,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q051,ماذا ورد في هذا الموضع من النص؟,بيوصل هذا المرصد شاب امريكي فلكي،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q052,ما الجمله المذكوره في هذا السياق؟,لتجمع سحابي حلزوني الشكل،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q053,كيف صيغت العباره هنا؟,بيرصد الحاجات جوا مجرتنا.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q054,ما الذي قيل في هذا الجزء؟,مختلفه عن الصور اللي لقطها اخر يومين،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q055,ما النص الحرفي المذكور في هذه الفقره؟,ما طلعش نجم طبيعي، Nova،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q056,ماذا ورد في هذا الموضع من النص؟,وبعد كدا، يطفي تماما،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q057,ما الجمله المذكوره في هذا السياق؟,Cepheid Varaible.,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q058,كيف صيغت العباره هنا؟,في دراسه الفضاء،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q059,ما الذي قيل في هذا الجزء؟,ويشطب علي الرمز بتاع الـN،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q060,ما النص الحرفي المذكور في هذه الفقره؟,variable، او متغير،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q061,ماذا ورد في هذا الموضع من النص؟,هو العالم المعروف ادوين هابل،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q062,ما الجمله المذكوره في هذا السياق؟,تليسكوب هابل الفضائي،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q063,كيف صيغت العباره هنا؟,واللي هتاخد رمز H335H،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q064,ما الذي قيل في هذا الجزء؟,في التجمع السحابي،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q065,ما النص الحرفي المذكور في هذه الفقره؟,بين كل نبضه والتانيه،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q066,ماذا ورد في هذا الموضع من النص؟,مدي بعد هذا النجم عن كوكب الارض.,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q067,ما الجمله المذكوره في هذا السياق؟,بالورقه والقلم؟!,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q068,كيف صيغت العباره هنا؟,في هذه الفتره لم تكن حسابات اعجازيه،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q069,ما الذي قيل في هذا الجزء؟,هينيريتا سوان ليفيت،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q070,ما النص الحرفي المذكور في هذه الفقره؟,اللي اتسموا بالـHarvard Computers،,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q071,ماذا ورد في هذا الموضع من النص؟,كان بيطلق علي الناس اللي بتحسب،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q072,ما الجمله المذكوره في هذا السياق؟,معالجات حسابيه بشكل يدوي، بايديه.,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q073,كيف صيغت العباره هنا؟,بعد النجم عن الارض،,Easy
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q074,ما الذي قيل في هذا الجزء؟,ييبعد عن الارض 800 الف سنه ضوئيه.,Medium
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q075,ما النص الحرفي المذكور في هذه الفقره؟,حوالي 100 الف سنه ضوئيه،,Easy
