video_id,video_title,question_id,question,answer,difficulty
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q001,ماذا ورد في هذا الموضع من النص؟,يا سلام! وايه بقي اللي حصل؟,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q002,ما الجمله المذكوره في هذا السياق؟,ايه الطلقه الواحده اللي تقتل جوزي,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q003,كيف صيغت العباره هنا؟,في كل الناس، ولا ايه؟!,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q004,ما الذي قيل في هذا الجزء؟,وانتي بتهربي من العربيه لما اتضرب بالنار.,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q005,ما النص الحرفي المذكور في هذه الفقره؟,متعدله بالـفوتوشوب!,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q006,ماذا ورد في هذا الموضع من النص؟,الجهاز الفاشل المجنون المهزا بالشكل دا!,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q007,ما الجمله المذكوره في هذا السياق؟,ييجي ينقذ الموقف اللي احنا فيه؟!,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q008,كيف صيغت العباره هنا؟,السلام عليكم ورحمه الله وبركاته،,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q009,ما الذي قيل في هذا الجزء؟,من برنامج الدحيح!,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q010,ما النص الحرفي المذكور في هذه الفقره؟,تعالي نقف من بعيد، نتفرج من بعيد،,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q011,ماذا ورد في هذا الموضع من النص؟,وفين؟ في دالاس، تكساس،,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q012,ما الجمله المذكوره في هذا السياق؟,في موكب ديلي بلازا،,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q013,كيف صيغت العباره هنا؟,وسط تصفيق وهتافات من الجمهور،,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q014,ما الذي قيل في هذا الجزء؟,اللي كان وقتها في عز شعبيته،,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q015,ما النص الحرفي المذكور في هذه الفقره؟,في ليموزين مكشوفه، ولا اللي بتنقل عزالها،,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q016,ماذا ورد في هذا الموضع من النص؟,هذا المشهد المثالي بينهار امامنا،,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q017,ما الجمله المذكوره في هذا السياق؟,بنشوف طلقه، والتانيه، واخيرا التالته،,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q018,كيف صيغت العباره هنا؟,بعد تقريبا نص ساعه،,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q019,ما الذي قيل في هذا الجزء؟,بيخرج والتر كرونكايت,Easy
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q020,ما النص الحرفي المذكور في هذه الفقره؟,انها قبضت علي المشتبه فيه الاول،,Medium
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q021,ماذا ورد في هذا الموضع من النص؟,كقاتل الرئيس الامريكي جون اف. كينيدي.,Easy
