video_id,video_title,question_id,question,answer,difficulty
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q001,ماذا ورد في هذا الموضع من النص؟,الوضع بقي معقد جدا بشكل استثنائي،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q002,ما الجمله المذكوره في هذا السياق؟,ما حدش محتاج يتحرك.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q003,كيف صيغت العباره هنا؟,- كل حاجه بتيجي لحد البيت،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q004,ما الذي قيل في هذا الجزء؟,ويقوم يشوف رزقه؟,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q005,ما النص الحرفي المذكور في هذه الفقره؟,علي الـFaceTime،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q006,ماذا ورد في هذا الموضع من النص؟,عشان نقدر نقعد في حته.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q007,ما الجمله المذكوره في هذا السياق؟,الانسان عشان يطلع عضلات، ممكن ياخد حبوب،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q008,كيف صيغت العباره هنا؟,وسيب الزفت اللي في ايدك!,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q009,ما الذي قيل في هذا الجزء؟,السلام عليكم ورحمه الله وبركاته،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q010,ما النص الحرفي المذكور في هذه الفقره؟,"من برنامج ""الدحيح""!",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q011,ماذا ورد في هذا الموضع من النص؟,- حوضك، افتحه دلوقتي حالا!,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q012,ما الجمله المذكوره في هذا السياق؟,الي زاويه مستقيمه، اتصرف!,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q013,كيف صيغت العباره هنا؟,قبل قرون من الميلاد.,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q014,ما الذي قيل في هذا الجزء؟,"بيطلق عليهم اسم ""الطبيعيين الاوائل""،",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q015,ما النص الحرفي المذكور في هذه الفقره؟,اللي وراهم واللي قدامهم،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q016,ماذا ورد في هذا الموضع من النص؟,"زي ""انكسيمناس""،",Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q017,ما الجمله المذكوره في هذا السياق؟,"انا شايف ان هو النار.""",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q018,كيف صيغت العباره هنا؟,تم توثيقها لسبب ما،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q019,ما الذي قيل في هذا الجزء؟,فيه فكره بتجمعهم،,Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q020,ما النص الحرفي المذكور في هذه الفقره؟,من صلب لسائل لغاز،,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q021,ماذا ورد في هذا الموضع من النص؟,"""فيه حاجه اسمها التسامي، ممكن ترد مرحله.""",Easy
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q022,ما الجمله المذكوره في هذا السياق؟,دايما في حركه مستمره.,Medium
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q023,كيف صيغت العباره هنا؟,فاختار النار كاصل للعالم،,Easy
