video_id,video_title,question_id,question,answer,difficulty
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q001,ماذا ورد في هذا الموضع من النص؟,- صرح كبير،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q002,ما الجمله المذكوره في هذا السياق؟,ويزوره ملايين الناس لما اموت،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q003,كيف صيغت العباره هنا؟,"- صرح ايه يا ""امل""؟!",Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q004,ما الذي قيل في هذا الجزء؟,- ايه دا؟!,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q005,ما النص الحرفي المذكور في هذه الفقره؟,تبني اصرحه واضرحه،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q006,ماذا ورد في هذا الموضع من النص؟,- هرم.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q007,ما الجمله المذكوره في هذا السياق؟,السلام عليكم ورحمه الله وبركاته،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q008,كيف صيغت العباره هنا؟,"من برنامج ""الدحيح""!",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q009,ما الذي قيل في هذا الجزء؟,تبقي ليله سعيده في حياته،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q010,ما النص الحرفي المذكور في هذه الفقره؟,بتتعب وبتتوفي بسبب مضاعفات الولاده.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q011,ماذا ورد في هذا الموضع من النص؟,"للدرجادي الست دي كانت كويسه؟!""",Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q012,ما الجمله المذكوره في هذا السياق؟,"غيرلها اسمها الاصلي ""ارجمان مانو""،",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q013,كيف صيغت العباره هنا؟,من اهم قصص الحب في التاريخ.,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q014,ما الذي قيل في هذا الجزء؟,"والحاج ""احمد السبكي""،",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q015,ما النص الحرفي المذكور في هذه الفقره؟,كملت لحد ما جيبنا اول مولود،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q016,ماذا ورد في هذا الموضع من النص؟,في تاريخ امبراطوريته،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q017,ما الجمله المذكوره في هذا السياق؟,انه من عجايب الدنيا السبعه الحديثه،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q018,كيف صيغت العباره هنا؟,اول حاجه محتاجين نسالها هنا,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q019,ما الذي قيل في هذا الجزء؟,بانه يبنيلها صرح؟,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q020,ما النص الحرفي المذكور في هذه الفقره؟,محتاجين نرجع لثقافه البلد،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q021,ماذا ورد في هذا الموضع من النص؟,ان واحده من اكبر واقوي الدول المسلمه تاريخيا,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q022,ما الجمله المذكوره في هذا السياق؟,او The Mughals.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q023,كيف صيغت العباره هنا؟,"لـ""بنجلاديش"" و""افغانستان""،",Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q024,ما الذي قيل في هذا الجزء؟,وصل لمئات الملايين.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q025,ما النص الحرفي المذكور في هذه الفقره؟,كان عنده 13 سنه، كان Teenager،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q026,ماذا ورد في هذا الموضع من النص؟,"وسيطرت علي ""الهند"" بالكامل.",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q027,ما الجمله المذكوره في هذا السياق؟,انت مشكلتك ان انت بتسرح،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q028,كيف صيغت العباره هنا؟,علي امبراطوريه مساحتها مهوله،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q029,ما الذي قيل في هذا الجزء؟,اغلبيه مش مسلمه اصلا،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q030,ما النص الحرفي المذكور في هذه الفقره؟,بين التسامح الديني والعدل،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q031,ماذا ورد في هذا الموضع من النص؟,سوف تصبح مفتاح للاستقرار،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q032,ما الجمله المذكوره في هذا السياق؟,يقلل الصراعات الداخليه بين هذه الشعوب.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q033,كيف صيغت العباره هنا؟,زي ما انا وانت عارفين،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q034,ما الذي قيل في هذا الجزء؟,علي شويه رخاء اقتصادي،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q035,ما النص الحرفي المذكور في هذه الفقره؟,من علوم وفنون،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q036,ماذا ورد في هذا الموضع من النص؟,زي المنمنمات، عملنا عنها حلقه.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q037,ما الجمله المذكوره في هذا السياق؟,"ازدهر تحت حكم المغول في ""الهند""",Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q038,كيف صيغت العباره هنا؟,ان بعض مؤرخين العماره الاسلاميه,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q039,ما الذي قيل في هذا الجزء؟,هي الاجمل علي الاطلاق,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q040,ما النص الحرفي المذكور في هذه الفقره؟,"في كل مدينه كبيره في ""الهند""،",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q041,ماذا ورد في هذا الموضع من النص؟,من الحجر الرملي الاحمر،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q042,ما الجمله المذكوره في هذا السياق؟,لحوالي 50 الف مصلي، دا استاد!,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q043,كيف صيغت العباره هنا؟,مع لون الحجر الرملي الاحمر,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q044,ما الذي قيل في هذا الجزء؟,اللي طولها بيوصل لحوالي 50 متر،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q045,ما النص الحرفي المذكور في هذه الفقره؟,والزخرفه اللي موجوده جوا المسجد كوم تاني،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q046,ماذا ورد في هذا الموضع من النص؟,ما بين التفاصيل الدقيقه والبساطه،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q047,ما الجمله المذكوره في هذا السياق؟,متطعمه بالوان بسيطه،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q048,كيف صيغت العباره هنا؟,من غير بهرجه، من غير تكلف،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q049,ما الذي قيل في هذا الجزء؟,كانت ساحره من بره ومن جوا،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q050,ما النص الحرفي المذكور في هذه الفقره؟,بس من غير ما تخل بوظيفه المكان،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q051,ماذا ورد في هذا الموضع من النص؟,عشان نركز في العباده،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q052,ما الجمله المذكوره في هذا السياق؟,اختار انه يخلد ذكري حبيبته وزوجته بالعماره.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q053,كيف صيغت العباره هنا؟,في الجمال والروعه،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q054,ما الذي قيل في هذا الجزء؟,واAsk You ان انت تفتح حوضك،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q055,ما النص الحرفي المذكور في هذه الفقره؟,ونرجع لقصه السلطان بعد موت حبيبته.,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q056,ماذا ورد في هذا الموضع من النص؟,"""احنا، يا جماعه، هنبني مجمع ضخم.",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q057,ما الجمله المذكوره في هذا السياق؟,ومجموعه خانات،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q058,كيف صيغت العباره هنا؟,"اللي هيعدوا علينا.""",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q059,ما الذي قيل في هذا الجزء؟,كانت غريبه جدا وقتها،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q060,ما النص الحرفي المذكور في هذه الفقره؟,"ان السوق والخانات والـ""بازار"" دا",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q061,ماذا ورد في هذا الموضع من النص؟,جزء من حياه الناس اليوميه.,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q062,ما الجمله المذكوره في هذا السياق؟,ايه الحب دا؟! يخرب بيته!,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q063,كيف صيغت العباره هنا؟,ش تقول (بيس كيك)!,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q064,ما الذي قيل في هذا الجزء؟,"""الاستاذيه"" دي كانت لقب،",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q065,ما النص الحرفي المذكور في هذه الفقره؟,فكره شعريه عبقريه،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q066,ماذا ورد في هذا الموضع من النص؟,"اللي موجود في ""القران""،",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q067,ما الجمله المذكوره في هذا السياق؟,"علي نهر ""يامونا""،",Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q068,كيف صيغت العباره هنا؟,"اول ما تبص علي ""تاج محل"" هي السيمتريه،",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q069,ما الذي قيل في هذا الجزء؟,نسخه صغيره من الجنه علي الارض،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q070,ما النص الحرفي المذكور في هذه الفقره؟,الموضوع كان له ابعاد صوفيه،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q071,ماذا ورد في هذا الموضع من النص؟,رمز لاتحاد السما والارض،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q072,ما الجمله المذكوره في هذا السياق؟,في اجزاء المجمع التلاته،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q073,كيف صيغت العباره هنا؟,مقابر للعائله المالكه،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q074,ما الذي قيل في هذا الجزء؟,اللي فيه ضريح ومسجد وخان للمسافرين.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q075,ما النص الحرفي المذكور في هذه الفقره؟,من بوابه المدخل الضخمه،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q076,ماذا ورد في هذا الموضع من النص؟,هتلاقي مجري مائي مستقيم،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q077,ما الجمله المذكوره في هذا السياق؟,وبين الضريح اللي في الاخر،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q078,كيف صيغت العباره هنا؟,"اللي مذكورين في ""القران""،",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q079,ما الذي قيل في هذا الجزء؟,اشجار وورود وريحان وياسمين ونرجس،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q080,ما النص الحرفي المذكور في هذه الفقره؟,في الشعر الفارسي والشعر الصوفي.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q081,ماذا ورد في هذا الموضع من النص؟,عملوا حاجه اجمل،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q082,ما الجمله المذكوره في هذا السياق؟,زي ما تكون كدا، خريطه روحيه،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q083,كيف صيغت العباره هنا؟,يوديك من بوابه الدنيا لقصر الاخره،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q084,ما الذي قيل في هذا الجزء؟,تاخدك من وقت للتاني بعيد عنها.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q085,ما النص الحرفي المذكور في هذه الفقره؟,هنلاحظ حاجه غريبه جدا،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q086,ماذا ورد في هذا الموضع من النص؟,وانت داخل من المدخل،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q087,ما الجمله المذكوره في هذا السياق؟,اعلي من اللي حواليه،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q088,كيف صيغت العباره هنا؟,ان هو عايم فوق الارض،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q089,ما الذي قيل في هذا الجزء؟,حصل فيضان، يفضل محمي.,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q090,ما النص الحرفي المذكور في هذه الفقره؟,لما اقولك ان القصر ضخم,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q091,ماذا ورد في هذا الموضع من النص؟,متحاوطه بـ4 ماذن ارتفاعهم 40 متر،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q092,ما الجمله المذكوره في هذا السياق؟,دا رخام بييجي من محاجر مخصوصه,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q093,كيف صيغت العباره هنا؟,معموله بالحجر الرملي الاحمر.,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q094,ما الذي قيل في هذا الجزء؟,صح! انا شايفها!,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q095,ما النص الحرفي المذكور في هذه الفقره؟,اهم مبني في العماره الاسلاميه.,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q096,ماذا ورد في هذا الموضع من النص؟,"دا تصريح خطير!""",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q097,ما الجمله المذكوره في هذا السياق؟,اللي عملنا عنه حلقه قبل كدا.,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q098,كيف صيغت العباره هنا؟,استخدموا تقنيه اسمها Pietra Dura،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q099,ما الذي قيل في هذا الجزء؟,زي الياقوت والعقيق واللازورد والفيروز،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q100,ما النص الحرفي المذكور في هذه الفقره؟,ورود وازهار واوراق دقيقه،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q101,ماذا ورد في هذا الموضع من النص؟,مش عشوائيه،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q102,ما الجمله المذكوره في هذا السياق؟,في الشعر الصوفي والفارسي،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q103,كيف صيغت العباره هنا؟,هنلاقي النقش عليها مش مسطح،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q104,ما الذي قيل في هذا الجزء؟,كل ما الشمس تتحرك.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q105,ما النص الحرفي المذكور في هذه الفقره؟,مكتوبه بخط الثلث،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q106,ماذا ورد في هذا الموضع من النص؟,كل ما بترتفع بمستوي النظر،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q107,ما الجمله المذكوره في هذا السياق؟,علي حسب زاويه الشمس،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q108,كيف صيغت العباره هنا؟,ويعكسه بطريقه غريبه جدا،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q109,ما الذي قيل في هذا الجزء؟,زي الحياه بالظبط،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q110,ما النص الحرفي المذكور في هذه الفقره؟,كل واحده بتوصل للتانيه،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q111,ماذا ورد في هذا الموضع من النص؟,زي الاخطبوط كدا.,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q112,ما الجمله المذكوره في هذا السياق؟,لاوضه من الاوض الـ8 اللي في المبني،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q113,كيف صيغت العباره هنا؟,هي المركز اللي بيوزع للباقي،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q114,ما الذي قيل في هذا الجزء؟,هي الغرفه الرئيسيه،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q115,ما النص الحرفي المذكور في هذه الفقره؟,اللي الناس ممكن تزورها،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q116,ماذا ورد في هذا الموضع من النص؟,موجوده في اوضه تحتها مباشره،,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q117,ما الجمله المذكوره في هذا السياق؟,مش مفتوحه للزوار.,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q118,كيف صيغت العباره هنا؟,"انا معايا واسطه.""",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q119,ما الذي قيل في هذا الجزء؟,انا لما هاروح هناك، هاعرف اخش،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q120,ما النص الحرفي المذكور في هذه الفقره؟,"هيقولولك: (اه طبعا، اتفضل!)""",Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q121,ماذا ورد في هذا الموضع من النص؟,هتلاقي زخارف متقسمه لطبقات،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q122,ما الجمله المذكوره في هذا السياق؟,هتلاقي الفتحات اللي بتدخل النور.,Medium
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q123,كيف صيغت العباره هنا؟,في تدرج من الارض للسما،,Easy
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q124,ما الذي قيل في هذا الجزء؟,الكلمه اللي انت قلتها 7 مرات، دا الصوت.,Medium
