video_id,video_title,question_id,question,answer,difficulty
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q001,ماذا ورد في هذا الموضع من النص؟,اخبار ترميم لوحه نابليون ايه؟,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q002,ما الجمله المذكوره في هذا السياق؟,يبقي نص جسمه بطه؟,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q003,كيف صيغت العباره هنا؟,ما لهاش اجابه يا حضره الـهير هانز.,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q004,ما الذي قيل في هذا الجزء؟,بتاعه البطه علي نابليون بونابرت،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q005,ما النص الحرفي المذكور في هذه الفقره؟,ايوه...,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q006,ماذا ورد في هذا الموضع من النص؟,استاذنك في حاجه،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q007,ما الجمله المذكوره في هذا السياق؟,يعني، مش لطيف.,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q008,كيف صيغت العباره هنا؟,ايه؟ حرامي.,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q009,ما الذي قيل في هذا الجزء؟,السلام عليكم ورحمه الله وبركاته،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q010,ما النص الحرفي المذكور في هذه الفقره؟,من برنامج الدحيح!,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q011,ماذا ورد في هذا الموضع من النص؟,خليني اخدك من ايدك ونطلع علي 1813،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q012,ما الجمله المذكوره في هذا السياق؟,لحد ما نوصل لـاسوان،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q013,كيف صيغت العباره هنا؟,مستكشف سويسري اسمه يوهان بوركهارت،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q014,ما الذي قيل في هذا الجزء؟,طالعه من وسط الرمله.,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q015,ما النص الحرفي المذكور في هذه الفقره؟,ان هو يدخل بسبب الرمل،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q016,ماذا ورد في هذا الموضع من النص؟,اللي يسمحوله انه يحفر في المكان دا،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q017,ما الجمله المذكوره في هذا السياق؟,ملاحظاته الدقيقه علي اللي شافه.,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q018,كيف صيغت العباره هنا؟,من اهم مستكشفي القرن الـ19.,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q019,ما الذي قيل في هذا الجزء؟,ضرب علي حتتين اثار،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q020,ما النص الحرفي المذكور في هذه الفقره؟,لجمع الاثار لمتاحف اوروبا،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q021,ماذا ورد في هذا الموضع من النص؟,واخدين، يا عزيزي، تمن طيبه.,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q022,ما الجمله المذكوره في هذا السياق؟,وصرف فلوس كتير جدا علي عمليات الحفر،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q023,كيف صيغت العباره هنا؟,ما لقاش كنوز ولا دهب.,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q024,ما الذي قيل في هذا الجزء؟,كشطهم ولا ايه؟!,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q025,ما النص الحرفي المذكور في هذه الفقره؟,واقف قدام تماثيل ضخمه،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q026,ماذا ورد في هذا الموضع من النص؟,وينسب هذا الفضل ليا،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q027,ما الجمله المذكوره في هذا السياق؟,اروح اخدها ابيعها لـالمتحف الانجليزي,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q028,كيف صيغت العباره هنا؟,بس انا عايز اسلكلي مسخوطين!,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q029,ما الذي قيل في هذا الجزء؟,قعد ياخد كل اللي يقدر عليه،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q030,ما النص الحرفي المذكور في هذه الفقره؟,اللي كانت موجوده في المعبد او غيره.,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q031,ماذا ورد في هذا الموضع من النص؟,ما كانش بيعرف يقرا هيروغليفي اصلا،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q032,ما الجمله المذكوره في هذا السياق؟,ان المعبد نفسه هو الكنز،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q033,كيف صيغت العباره هنا؟,ممكن يخلد اسمه،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q034,ما الذي قيل في هذا الجزء؟,ويوثقوا نقوشه،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q035,ما النص الحرفي المذكور في هذه الفقره؟,للعالم فرانسوا شامبليون،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q036,ماذا ورد في هذا الموضع من النص؟,مع هذه الكتابات والرموز لمده 3 سنين،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q037,ما الجمله المذكوره في هذا السياق؟,ويقدمها للعالم.,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q038,كيف صيغت العباره هنا؟,العالم وليس الشارع، عشان فيه ناس بتتلخبط،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q039,ما الذي قيل في هذا الجزء؟,دا فيه 4 ادوار ابو طارق!,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q040,ما النص الحرفي المذكور في هذه الفقره؟,ان فك رموز المعبد طفره، اكتشاف عظيم،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q041,ماذا ورد في هذا الموضع من النص؟,اللي مكتوب علي جدران ابو سمبل،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q042,ما الجمله المذكوره في هذا السياق؟,عشان ياكد نظريته،,Medium
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q043,كيف صيغت العباره هنا؟,الحكومه المصريه بتواجه معضله،,Easy
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q044,ما الذي قيل في هذا الجزء؟,موجوده فوق واجهه المعبد.,Medium
